Districtname,PPE
Monroe School District,8482.873759542798799
Montesano School District,13248.74679317932
Morton School District,8948.522785200410586
Moses Lake School District,9988.970457239626946
Mossyrock School District,10120.096513859273
Mount Adams School District,8877.747545304777801
Mount Baker School District,8512.096106429086564
Mount Pleasant School District,5541.544466019417476
Mount Vernon School District,10614.876531540598126
Muckleshoot Indian Tribe,137754.945735294118
Mukilteo School District,11535.0295673995269
Naches Valley School District,9568.277173539517397
Napavine School District,10761.89071304348
Naselle-Grays River Valley School District,12088.679639126306
Nespelem School District,9494.277408163265306
Newport School District,13405.394061826024
Nine Mile Falls School District,7952.170852526644036
Nooksack Valley School District,8012.047960280376986
North Beach School District No. 64,7463.636910742918493
North Franklin School District,7403.663535476047908
North Kitsap School District,8718.270864358809099
North Mason School District,8826.111261221808189
Northport School District,5718.580355603447737
North River School District,14025.707564766839
Northshore School District,9324.722732844213708
North Thurston Public Schools,11199.801848703046
Oakesdale School District,6239.70863330843988
Oak Harbor School District,11367.316692251078
Oakville School District,5855.248796992488304
Ocean Beach School District,8775.789684584629276
Ocosta School District,8232.86497322624498
Odessa School District,7430.900858237547126
Okanogan School District,9599.208450844089623
Olympia School District,7177.227446670134581
Omak School District,17291.76132758257679
Onalaska School District,10637.633525835864
Onion Creek School District,4353.883759124087591
Orcas Island School District,6745.897549770292496
Orchard Prairie School District,7537.597948717948718
Orient School District,5055.962633228840125
Orondo School District,6331.804360119047619
Oroville School District,10039.121234102685
Orting School District,11608.442005291006
Othello School District,8824.843380903838827
Palisades School District,3278.987298245614035
Palouse School District,4958.582972620595828
Pasco School District,10531.67720748008333
Pateros School District,6342.646633663369637
Paterson School District,9834.50951768488746
Pe Ell School District,11740.724552683897
Peninsula School District,9536.242902120566781
Pinnacles Prep Charter School,21967.396174496644
Pioneer School District,10058.046
Pomeroy School District,10220.060828856486
Port Angeles School District,7611.884808909446994
Port Townsend School District,8921.099029618081839
Prescott School District,6758.036382791921422
PRIDE Prep Charter School District,32943.616867924528
Prosser School District,8356.997943890038505
Pullman Community Montessori,15061.420691823899
Pullman School District,10555.413373702422
Puyallup School District,10109.780108908847401
Queets-Clearwater School District,5579.898921568627451
Quilcene School District,10914.481717921528
Quillayute Valley School District,13983.140033142514
Quincy School District,8507.478292157425237
Rainier Prep Charter School District,59791.190555555556
Rainier School District,10043.272325259517
Rainier Valley Leadership Academy,13116.155460526316
Raymond School District,12409.434826935179
Reardan-Edwall School District,11562.088015194686
Renton School District,7516.842580782845766
Republic School District,5782.72103490759425
Richland School District,15952.87950879191501
Ridgefield School District,11543.419647651008203
Ritzville School District,6870.486196754564402
Riverside School District,9084.540190156600485
Riverview School District,10146.124255889677265
Rochester School District,13019.905382103197
Roosevelt School District,4049.983004484304933
Rosalia School District,11723.597302798982
Royal School District,12487.711364120024
San Juan Island School District,6440.187010915200252
Satsop School District,6152.736684782608696
Seattle School District No. 1,6514.412406655714348
Sedro-Woolley School District,8188.482869910621549
Selah School District,8818.352837907439114
Selkirk School District,4813.955422413796121
Sequim School District,10551.48160390516
Shaw Island School District,7876.596349206349206
Shelton School District,11738.044283621449824
Shoreline School District,9868.020693512305524
Skamania School District,6971.247165991902834
Skykomish School District,9766.811071428573214
Snohomish School District,9715.535922488764752
Snoqualmie Valley School District,13338.01630825728
Soap Lake School District,9686.681196420160151
South Bend School District,7119.113949152540113
South Kitsap School District,11246.724024012137212
Southside School District,12309.513959731544
South Whidbey School District,11623.159849350648
Spokane International Academy,24485.492754491018
Spokane School District,5461.157893927141001
Sprague School District,3995.554212962962963
Stanwood-Camano School District,12102.362259725402746
Starbuck School District,23686.286694915254
Star School District No. 054,6367.447974683544304
State Level,23072.351571319781
Stehekin School District,3184.290735294117647
Steilacoom Hist. School District,15939.572697132614
Steptoe School District,6204.278441558441558
Stevenson-Carson School District,7473.642034786753872
St. John School District,7428.217530631479736
Sultan School District,11636.8582975388
Summit Public School: Atlas,71445.588403361345
Summit Public School: Olympus,30755.643228346457
Summit Public School: Sierra,44463.182173913043
Summit Valley School District,4212.489270516717325
Sumner-Bonney Lake School District,11584.909172141919
Sunnyside School District,14824.91827977315593
Suquamish Tribal Education Department,52932.01152173913
Tacoma School District,5891.78187365661838
Taholah School District,8871.515442846332324
Tahoma School District,18159.430509221669
Tekoa School District,7147.014208860759494
Tenino School District,10045.228819619532
Thorp School District,12500.717822222222
Toledo School District,7786.220426877472464
Tonasket School District,7178.4334623893809
Toppenish School District,10266.163922842370211
Touchet School District,11011.548558558559
Toutle Lake School District,17139.084546114742
Trout Lake School District,6414.73797147385103
Tukwila School District,12212.153945221444444
Tumwater School District,11755.14118183841659
Union Gap School District,15895.462654320988
University Place School District,12397.000413154623325
Valley School District,8558.803765093304336
Vancouver School District,9318.280710585951568
Vashon Island School District,10750.875653029112
WA HE LUT Indian School Agency,16779.028333333333
Wahkiakum School District,11074.553191489362
Wahluke School District,6227.527235083755902
Waitsburg School District,5072.177553956831834
Walla Walla Public Schools,5787.704820803671289
Wapato School District,6851.212307526880467
Warden School District,9197.515855369670804
Washougal School District,8854.891040739472441
Washtucna School District,8063.273685714285714
Waterville School District,7138.240914956012317
Wellpinit School District #49,6855.563451776649479
Wenatchee School District,6075.523908387285097
West Valley School District (Spokane),5652.553520207254663
West Valley School District (Yakima),8039.314419544099788
White Pass School District,9077.22476303317654
White River School District,9580.412490717366404
White Salmon Valley School District,9218.468465811966239
Why Not You Academy,20930.08125
Wilbur School District,9978.41779679144385
Willapa Valley School District,14464.209554013871
Wilson Creek School District,5882.137841726617906
Winlock School District,9994.754052741151631
Wishkah Valley School District,9572.092014563106796
Wishram School District,7323.477110481586402
Woodland School District,9636.873132455778383
Yakama Nation Tribal Compact,1032876.12
Yakima School District,9331.332773945181009
Yelm School District,12906.931456877245776
Zillah School District,11988.228281169827
