"Label (Grouping)","Washington!!Estimate","Washington!!Percent","Adams County, Washington!!Estimate","Adams County, Washington!!Percent","Asotin County, Washington!!Estimate","Asotin County, Washington!!Percent","Benton County, Washington!!Estimate","Benton County, Washington!!Percent","Chelan County, Washington!!Estimate","Chelan County, Washington!!Percent","Clallam County, Washington!!Estimate","Clallam County, Washington!!Percent","Clark County, Washington!!Estimate","Clark County, Washington!!Percent","Columbia County, Washington!!Estimate","Columbia County, Washington!!Percent","Cowlitz County, Washington!!Estimate","Cowlitz County, Washington!!Percent","Douglas County, Washington!!Estimate","Douglas County, Washington!!Percent","Ferry County, Washington!!Estimate","Ferry County, Washington!!Percent","Franklin County, Washington!!Estimate","Franklin County, Washington!!Percent","Garfield County, Washington!!Estimate","Garfield County, Washington!!Percent","Grant County, Washington!!Estimate","Grant County, Washington!!Percent","Grays Harbor County, Washington!!Estimate","Grays Harbor County, Washington!!Percent","Island County, Washington!!Estimate","Island County, Washington!!Percent","Jefferson County, Washington!!Estimate","Jefferson County, Washington!!Percent","King County, Washington!!Estimate","King County, Washington!!Percent","Kitsap County, Washington!!Estimate","Kitsap County, Washington!!Percent","Kittitas County, Washington!!Estimate","Kittitas County, Washington!!Percent","Klickitat County, Washington!!Estimate","Klickitat County, Washington!!Percent","Lewis County, Washington!!Estimate","Lewis County, Washington!!Percent","Lincoln County, Washington!!Estimate","Lincoln County, Washington!!Percent","Mason County, Washington!!Estimate","Mason County, Washington!!Percent","Okanogan County, Washington!!Estimate","Okanogan County, Washington!!Percent","Pacific County, Washington!!Estimate","Pacific County, Washington!!Percent","Pend Oreille County, Washington!!Estimate","Pend Oreille County, Washington!!Percent","Pierce County, Washington!!Estimate","Pierce County, Washington!!Percent","San Juan County, Washington!!Estimate","San Juan County, Washington!!Percent","Skagit County, Washington!!Estimate","Skagit County, Washington!!Percent","Skamania County, Washington!!Estimate","Skamania County, Washington!!Percent","Snohomish County, Washington!!Estimate","Snohomish County, Washington!!Percent","Spokane County, Washington!!Estimate","Spokane County, Washington!!Percent","Stevens County, Washington!!Estimate","Stevens County, Washington!!Percent","Thurston County, Washington!!Estimate","Thurston County, Washington!!Percent","Wahkiakum County, Washington!!Estimate","Wahkiakum County, Washington!!Percent","Walla Walla County, Washington!!Estimate","Walla Walla County, Washington!!Percent","Whatcom County, Washington!!Estimate","Whatcom County, Washington!!Percent","Whitman County, Washington!!Estimate","Whitman County, Washington!!Percent","Yakima County, Washington!!Estimate","Yakima County, Washington!!Percent"
"        Female householder, no spouse/partner present","705,169","23.7%","1,438","22.8%","2,712","28.6%","18,631","24.7%","7,747","25.5%","8,837","25.9%","43,836","23.2%","465","25.8%","10,332","23.9%","3,554","23.0%","810","26.8%","6,232","22.0%","188","18.6%","7,523","22.3%","7,474","25.3%","7,772","21.9%","4,248","26.8%","218,800","23.9%","22,149","20.9%","4,644","24.1%","2,178","22.6%","7,250","23.0%","905","20.0%","5,118","20.1%","3,852","22.7%","2,802","26.2%","1,346","23.5%","80,241","23.5%","2,057","23.8%","11,420","22.5%","996","20.7%","65,260","21.2%","56,535","26.5%","3,557","19.3%","28,601","24.7%","335","17.1%","6,595","28.7%","22,891","25.1%","4,353","24.2%","21,485","25.1%"
"            With children of the householder under 18 years","114,061","3.8%","388","6.2%","221","2.3%","3,880","5.1%","1,409","4.6%","1,149","3.4%","7,904","4.2%","95","5.3%","1,777","4.1%","987","6.4%","49","1.6%","2,629","9.3%","10","1.0%","2,017","6.0%","1,077","3.6%","1,143","3.2%","323","2.0%","29,416","3.2%","3,795","3.6%","629","3.3%","333","3.5%","1,080","3.4%","81","1.8%","725","2.8%","906","5.3%","267","2.5%","194","3.4%","14,794","4.3%","255","2.9%","2,216","4.4%","174","3.6%","10,159","3.3%","9,092","4.3%","360","1.9%","4,490","3.9%","19","1.0%","1,070","4.7%","2,949","3.2%","460","2.6%","5,539","6.5%"
"            Householder living alone","423,030","14.2%","639","10.1%","1,888","19.9%","10,273","13.6%","4,816","15.8%","5,996","17.6%","25,144","13.3%","339","18.8%","6,234","14.4%","1,681","10.9%","553","18.3%","2,144","7.6%","151","15.0%","3,832","11.4%","4,868","16.5%","5,176","14.6%","3,369","21.2%","139,745","15.3%","13,038","12.3%","2,307","12.0%","1,501","15.6%","4,415","14.0%","662","14.6%","2,914","11.4%","2,095","12.3%","2,079","19.4%","720","12.6%","44,564","13.0%","1,440","16.6%","6,512","12.8%","542","11.3%","37,984","12.3%","34,060","16.0%","2,295","12.4%","17,424","15.1%","255","13.1%","4,389","19.1%","13,739","15.1%","2,494","13.9%","10,753","12.6%"
"                65 years and over","206,202","6.9%","319","5.1%","1,054","11.1%","4,989","6.6%","2,712","8.9%","3,715","10.9%","13,299","7.0%","215","11.9%","3,712","8.6%","1,205","7.8%","330","10.9%","1,290","4.6%","101","10.0%","2,445","7.3%","2,678","9.1%","3,323","9.4%","2,153","13.6%","54,268","5.9%","7,724","7.3%","968","5.0%","771","8.0%","3,042","9.7%","441","9.7%","1,724","6.8%","1,318","7.8%","1,543","14.4%","436","7.6%","21,333","6.2%","845","9.8%","4,086","8.0%","323","6.7%","19,613","6.4%","17,167","8.0%","1,433","7.8%","9,064","7.8%","99","5.1%","2,328","10.1%","7,022","7.7%","1,047","5.8%","6,067","7.1%"
"        Households with one or more people under 18 years","894,754","30.0%","2,722","43.2%","2,275","23.9%","25,467","33.7%","9,013","29.6%","6,769","19.8%","60,959","32.3%","417","23.1%","12,731","29.5%","6,010","38.8%","547","18.1%","13,527","47.7%","265","26.3%","12,649","37.6%","7,274","24.6%","8,672","24.4%","2,299","14.5%","255,054","27.8%","31,800","30.0%","4,756","24.7%","2,020","21.0%","8,845","28.1%","1,002","22.1%","6,510","25.5%","5,254","30.9%","2,323","21.7%","1,323","23.1%","113,274","33.1%","1,580","18.3%","15,289","30.1%","1,140","23.7%","102,739","33.4%","62,178","29.1%","4,383","23.7%","34,281","29.6%","485","24.8%","6,655","29.0%","24,574","27.0%","3,869","21.5%","33,824","39.5%"
"        Households with one or more people 65 years and over","864,999","29.0%","1,638","26.0%","3,968","41.8%","22,104","29.3%","10,781","35.4%","16,402","48.1%","57,038","30.2%","782","43.3%","15,074","34.9%","5,362","34.7%","1,465","48.4%","6,463","22.8%","423","41.9%","9,957","29.6%","11,924","40.4%","14,848","41.8%","8,864","55.9%","215,398","23.5%","35,127","33.1%","5,364","27.9%","3,842","39.9%","12,565","39.9%","1,886","41.6%","10,210","40.1%","6,717","39.5%","5,503","51.5%","2,649","46.2%","92,888","27.2%","4,223","48.8%","19,381","38.1%","1,873","38.9%","83,897","27.3%","64,277","30.1%","7,914","42.8%","36,713","31.7%","1,009","51.6%","8,323","36.2%","28,494","31.3%","3,870","21.5%","25,783","30.1%"
"        Average household size","2.53","(X)","3.21","(X)","2.33","(X)","2.72","(X)","2.55","(X)","2.23","(X)","2.65","(X)","2.16","(X)","2.53","(X)","2.75","(X)","2.33","(X)","3.32","(X)","2.26","(X)","2.89","(X)","2.46","(X)","2.36","(X)","2.04","(X)","2.42","(X)","2.52","(X)","2.20","(X)","2.32","(X)","2.59","(X)","2.41","(X)","2.54","(X)","2.37","(X)","2.16","(X)","2.34","(X)","2.63","(X)","2.06","(X)","2.51","(X)","2.50","(X)","2.66","(X)","2.45","(X)","2.52","(X)","2.51","(X)","2.27","(X)","2.50","(X)","2.43","(X)","2.28","(X)","2.95","(X)"
"        Average family size","3.08","(X)","3.70","(X)","2.93","(X)","3.26","(X)","3.13","(X)","2.75","(X)","3.14","(X)","2.63","(X)","3.07","(X)","3.16","(X)","3.05","(X)","3.68","(X)","2.79","(X)","3.46","(X)","3.06","(X)","2.81","(X)","2.54","(X)","3.06","(X)","2.96","(X)","2.69","(X)","2.91","(X)","3.10","(X)","2.95","(X)","3.01","(X)","2.82","(X)","2.63","(X)","2.66","(X)","3.12","(X)","2.48","(X)","2.96","(X)","2.98","(X)","3.13","(X)","3.02","(X)","3.00","(X)","3.01","(X)","2.74","(X)","3.11","(X)","2.94","(X)","2.93","(X)","3.48","(X)"
"RELATIONSHIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population in households","7,535,102","7,535,102","20,239","20,239","22,164","22,164","205,737","205,737","77,427","77,427","76,106","76,106","499,742","499,742","3,896","3,896","109,322","109,322","42,626","42,626","7,037","7,037","94,260","94,260","2,279","2,279","97,325","97,325","72,627","72,627","83,832","83,832","32,306","32,306","2,212,871","2,212,871","267,522","267,522","42,308","42,308","22,355","22,355","81,590","81,590","10,903","10,903","64,786","64,786","40,289","40,289","23,113","23,113","13,441","13,441","898,140","898,140","17,817","17,817","127,567","127,567","12,021","12,021","817,107","817,107","522,824","522,824","46,462","46,462","290,358","290,358","4,430","4,430","57,387","57,387","221,668","221,668","41,043","41,043","252,175","252,175"
"        Householder","2,979,272","39.5%","6,304","31.1%","9,499","42.9%","75,509","36.7%","30,414","39.3%","34,128","44.8%","188,863","37.8%","1,804","46.3%","43,167","39.5%","15,474","36.3%","3,025","43.0%","28,350","30.1%","1,009","44.3%","33,666","34.6%","29,542","40.7%","35,498","42.3%","15,859","49.1%","916,270","41.4%","106,031","39.6%","19,250","45.5%","9,618","43.0%","31,511","38.6%","4,532","41.6%","25,488","39.3%","17,005","42.2%","10,689","46.2%","5,737","42.7%","341,783","38.1%","8,654","48.6%","50,824","39.8%","4,812","40.0%","307,643","37.7%","213,524","40.8%","18,471","39.8%","115,695","39.8%","1,954","44.1%","22,978","40.0%","91,171","41.1%","17,963","43.8%","85,558","33.9%"
"        Spouse","1,480,494","19.6%","3,485","17.2%","4,128","18.6%","38,668","18.8%","15,149","19.6%","16,481","21.7%","99,513","19.9%","906","23.3%","20,730","19.0%","8,709","20.4%","1,382","19.6%","15,426","16.4%","639","28.0%","16,605","17.1%","13,774","19.0%","20,103","24.0%","7,837","24.3%","429,241","19.4%","56,922","21.3%","8,954","21.2%","4,752","21.3%","15,485","19.0%","2,688","24.7%","13,016","20.1%","8,582","21.3%","4,975","21.5%","2,800","20.8%","173,292","19.3%","4,517","25.4%","26,990","21.2%","2,608","21.7%","166,780","20.4%","99,711","19.1%","10,384","22.3%","59,403","20.5%","1,187","26.8%","11,279","19.7%","44,065","19.9%","7,144","17.4%","42,184","16.7%"
"        Unmarried partner","253,687","3.4%","520","2.6%","918","4.1%","6,124","3.0%","2,381","3.1%","2,566","3.4%","15,909","3.2%","108","2.8%","4,375","4.0%","1,171","2.7%","198","2.8%","2,786","3.0%","17","0.7%","3,399","3.5%","2,578","3.5%","2,235","2.7%","1,028","3.2%","77,337","3.5%","8,179","3.1%","1,777","4.2%","741","3.3%","2,910","3.6%","249","2.3%","2,589","4.0%","1,250","3.1%","915","4.0%","547","4.1%","31,661","3.5%","611","3.4%","4,117","3.2%","320","2.7%","26,176","3.2%","17,936","3.4%","1,198","2.6%","9,617","3.3%","77","1.7%","1,539","2.7%","8,136","3.7%","1,411","3.4%","8,081","3.2%"
"        Child","2,071,934","27.5%","8,558","42.3%","5,328","24.0%","67,648","32.9%","23,249","30.0%","17,081","22.4%","148,244","29.7%","930","23.9%","30,003","27.4%","13,065","30.7%","1,715","24.4%","35,859","38.0%","563","24.7%","33,750","34.7%","19,250","26.5%","20,011","23.9%","5,108","15.8%","562,884","25.4%","69,990","26.2%","8,927","21.1%","5,374","24.0%","22,888","28.1%","2,820","25.9%","15,958","24.6%","10,254","25.5%","4,408","19.1%","3,012","22.4%","261,261","29.1%","2,949","16.6%","33,232","26.1%","2,803","23.3%","237,695","29.1%","140,011","26.8%","11,513","24.8%","77,264","26.6%","794","17.9%","16,576","28.9%","53,315","24.1%","8,522","20.8%","89,122","35.3%"
"        Other relatives","426,601","5.7%","921","4.6%","1,305","5.9%","11,283","5.5%","3,905","5.0%","3,413","4.5%","27,604","5.5%","99","2.5%","7,505","6.9%","3,218","7.5%","529","7.5%","8,981","9.5%","27","1.2%","7,411","7.6%","4,823","6.6%","3,329","4.0%","1,196","3.7%","114,311","5.2%","14,404","5.4%","1,273","3.0%","898","4.0%","5,651","6.9%","410","3.8%","5,056","7.8%","2,081","5.2%","1,162","5.0%","748","5.6%","57,436","6.4%","434","2.4%","7,932","6.2%","1,062","8.8%","47,522","5.8%","28,142","5.4%","3,481","7.5%","15,940","5.5%","314","7.1%","2,800","4.9%","8,528","3.8%","986","2.4%","20,481","8.1%"
"        Other nonrelatives","323,114","4.3%","451","2.2%","986","4.4%","6,505","3.2%","2,329","3.0%","2,437","3.2%","19,609","3.9%","49","1.3%","3,542","3.2%","989","2.3%","188","2.7%","2,858","3.0%","24","1.1%","2,494","2.6%","2,660","3.7%","2,656","3.2%","1,278","4.0%","112,828","5.1%","11,996","4.5%","2,127","5.0%","972","4.3%","3,145","3.9%","204","1.9%","2,679","4.1%","1,117","2.8%","964","4.2%","597","4.4%","32,707","3.6%","652","3.7%","4,472","3.5%","416","3.5%","31,291","3.8%","23,500","4.5%","1,415","3.0%","12,439","4.3%","104","2.3%","2,215","3.9%","16,453","7.4%","5,017","12.2%","6,749","2.7%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Males 15 years and over","3,168,265","3,168,265","7,421","7,421","9,211","9,211","81,340","81,340","32,042","32,042","32,735","32,735","201,968","201,968","1,636","1,636","44,703","44,703","17,630","17,630","3,120","3,120","37,285","37,285","1,022","1,022","38,566","38,566","32,656","32,656","36,844","36,844","14,510","14,510","953,082","953,082","118,182","118,182","19,130","19,130","9,796","9,796","34,270","34,270","4,595","4,595","28,907","28,907","17,466","17,466","10,193","10,193","5,996","5,996","371,305","371,305","7,934","7,934","52,899","52,899","5,106","5,106","339,278","339,278","219,734","219,734","19,286","19,286","118,402","118,402","1,942","1,942","26,035","26,035","94,323","94,323","20,999","20,999","96,716","96,716"
"        Never married","1,128,740","35.6%","2,886","38.9%","2,675","29.0%","28,174","34.6%","10,452","32.6%","9,281","28.4%","66,842","33.1%","386","23.6%","15,008","33.6%","5,511","31.3%","869","27.9%","13,881","37.2%","205","20.1%","13,942","36.2%","10,477","32.1%","10,471","28.4%","3,468","23.9%","374,309","39.3%","39,719","33.6%","7,145","37.3%","2,903","29.6%","10,513","30.7%","1,086","23.6%","9,754","33.7%","5,053","28.9%","2,601","25.5%","1,712","28.6%","132,390","35.7%","1,853","23.4%","16,013","30.3%","1,489","29.2%","111,304","32.8%","78,139","35.6%","4,726","24.5%","39,132","33.1%","348","17.9%","9,623","37.0%","36,057","38.2%","11,236","53.5%","37,107","38.4%"
"        Now married, except separated","1,628,155","51.4%","3,736","50.3%","4,357","47.3%","42,451","52.2%","16,886","52.7%","17,163","52.4%","107,569","53.3%","969","59.2%","22,128","49.5%","9,800","55.6%","1,624","52.1%","18,750","50.3%","695","68.0%","19,352","50.2%","15,538","47.6%","21,442","58.2%","8,361","57.6%","478,574","50.2%","62,780","53.1%","9,704","50.7%","5,294","54.0%","16,793","49.0%","2,856","62.2%","14,307","49.5%","9,494","54.4%","5,447","53.4%","3,155","52.6%","189,955","51.2%","4,812","60.7%","29,261","55.3%","2,858","56.0%","183,381","54.1%","107,926","49.1%","10,944","56.7%","64,219","54.2%","1,176","60.6%","12,582","48.3%","46,643","49.5%","7,636","36.4%","47,537","49.2%"
"        Separated","37,785","1.2%","142","1.9%","224","2.4%","902","1.1%","343","1.1%","557","1.7%","2,869","1.4%","0","0.0%","719","1.6%","403","2.3%","27","0.9%","552","1.5%","0","0.0%","457","1.2%","583","1.8%","355","1.0%","166","1.1%","9,829","1.0%","1,313","1.1%","163","0.9%","137","1.4%","556","1.6%","87","1.9%","236","0.8%","412","2.4%","129","1.3%","83","1.4%","5,136","1.4%","91","1.1%","657","1.2%","26","0.5%","3,472","1.0%","2,107","1.0%","169","0.9%","1,241","1.0%","26","1.3%","513","2.0%","1,229","1.3%","379","1.8%","1,495","1.5%"
"        Widowed","69,624","2.2%","143","1.9%","381","4.1%","1,734","2.1%","1,126","3.5%","1,315","4.0%","4,213","2.1%","57","3.5%","1,793","4.0%","477","2.7%","120","3.8%","511","1.4%","25","2.4%","1,331","3.5%","1,208","3.7%","1,219","3.3%","604","4.2%","15,597","1.6%","2,750","2.3%","544","2.8%","216","2.2%","1,132","3.3%","156","3.4%","903","3.1%","610","3.5%","519","5.1%","160","2.7%","6,658","1.8%","249","3.1%","1,409","2.7%","149","2.9%","6,996","2.1%","5,655","2.6%","662","3.4%","2,795","2.4%","80","4.1%","695","2.7%","2,279","2.4%","313","1.5%","2,840","2.9%"
"        Divorced","303,961","9.6%","514","6.9%","1,574","17.1%","8,079","9.9%","3,235","10.1%","4,419","13.5%","20,475","10.1%","224","13.7%","5,055","11.3%","1,439","8.2%","480","15.4%","3,591","9.6%","97","9.5%","3,484","9.0%","4,850","14.9%","3,357","9.1%","1,911","13.2%","74,773","7.8%","11,620","9.8%","1,574","8.2%","1,246","12.7%","5,276","15.4%","410","8.9%","3,707","12.8%","1,897","10.9%","1,497","14.7%","886","14.8%","37,166","10.0%","929","11.7%","5,559","10.5%","584","11.4%","34,125","10.1%","25,907","11.8%","2,785","14.4%","11,015","9.3%","312","16.1%","2,622","10.1%","8,115","8.6%","1,435","6.8%","7,737","8.0%"
"    Females 15 years and over","3,136,832","3,136,832","7,126","7,126","9,527","9,527","81,002","81,002","31,993","31,993","34,020","34,020","206,501","206,501","1,719","1,719","45,285","45,285","16,631","16,631","3,095","3,095","33,994","33,994","956","956","36,854","36,854","30,510","30,510","36,473","36,473","15,259","15,259","928,938","928,938","111,518","111,518","18,851","18,851","9,459","9,459","33,690","33,690","4,505","4,505","26,525","26,525","16,885","16,885","10,296","10,296","5,513","5,513","369,904","369,904","8,212","8,212","53,680","53,680","5,254","5,254","335,269","335,269","222,165","222,165","19,545","19,545","124,311","124,311","1,890","1,890","25,755","25,755","96,675","96,675","20,083","20,083","96,964","96,964"
"        Never married","892,807","28.5%","1,972","27.7%","2,333","24.5%","22,786","28.1%","8,735","27.3%","7,293","21.4%","53,641","26.0%","397","23.1%","11,652","25.7%","3,931","23.6%","752","24.3%","11,277","33.2%","128","13.4%","10,608","28.8%","7,989","26.2%","6,757","18.5%","2,913","19.1%","302,447","32.6%","26,046","23.4%","6,372","33.8%","2,053","21.7%","7,162","21.3%","753","16.7%","5,531","20.9%","3,963","23.5%","1,728","16.8%","1,167","21.2%","101,980","27.6%","1,715","20.9%","12,238","22.8%","1,228","23.4%","88,640","26.4%","62,136","28.0%","3,622","18.5%","31,937","25.7%","218","11.5%","7,890","30.6%","30,531","31.6%","9,674","48.2%","30,612","31.6%"
